salesforce_account_id,account_name,uc_dollars,non_uc_dollars,total_dollars,uc_pct,total_dbus
0016100001XnY5CAAV,BSI Group,15932.49,7324.15,23256.65,68.5,154808.51
001Vp000008Gtf4IAC,Thomas Miller,18980.62,4218.11,23198.73,81.8,65331.02
0013f000005Qa0hAAC,Eversheds Sutherland LLP,17090.38,5881.51,22971.89,74.4,52251.81
00161000005eOjHAAU,E&Y (HQ),8182.27,14388.75,22571.02,36.3,218776.91
0013f0000065N99AAE,Pinewood Technologies PLC,15990.94,6540.98,22531.92,71.0,72702.36
00161000005eOkTAAU,Mars Information Services,2910.98,19403.92,22314.91,13.0,122774.74
001Vp000004D2odIAC,PEGO LIMITED,18328.12,3927.64,22255.75,82.4,51883.21
0013f000008ouFMAAY,Ninety One Asset Management,9031.28,13209.32,22240.61,40.6,401859.01
001Vp00000END34IAH,Mitsui Bussan Commodities Limited,13002.95,8631.62,21634.58,60.1,62677.46
0014N000025gUs6QAE,PureGym,15017.39,6444.88,21462.27,70.0,111345.79
0016100001TPKZBAA5,Imperial College London,8785.23,12659.6,21444.83,41.0,62212.55
0018Y00002m54GRQAY,Hanson Wade,17132.23,3733.33,20865.56,82.1,40550.03
001Vp000003Om0NIAS,OneOcean,4.24,20747.18,20751.41,0.0,81202.35
0013f000009gXbyAAE,Skan.ai,3560.34,17152.54,20712.87,17.2,43183.7
0013f0000063PV8AAM,Homes England,15706.25,4762.23,20468.48,76.7,77164.55
0016100001H6kE6AAJ,Northern Powergrid,306.0,20044.59,20350.59,1.5,33736.05
0018Y00002nIE5hQAG,Codat,10634.21,9361.93,19996.14,53.2,40884.7
0013f00000AiIO4AAN,Apollo Underwriting,11001.4,8900.3,19901.69,55.3,54742.95
0013f0000064c1UAAQ,Fable Data,16028.74,3773.95,19802.68,80.9,79777.95
0018Y00002kxAePQAU,Maritime and Coastguard Agency,13706.15,5943.03,19649.18,69.8,81644.83
0014N00001neshGQAQ,Footasylum,13259.83,6109.92,19369.75,68.5,52846.81
0013f000005Rz2kAAC,Office for Students (OfS),9905.35,9368.28,19273.63,51.4,75841.96
0013f0000065W5hAAE,VMED O2 UK Limited,86.58,19030.29,19116.88,0.5,166875.7
0014N00001nfkoYQAQ,Capquest,10651.12,8034.01,18685.13,57.0,50755.51
0013f000009dq1SAAQ,Sciensus,1664.3,16926.81,18591.11,9.0,101740.81
0018Y00002sfBe5QAE,RSM International (HQ),10728.19,7693.14,18421.33,58.2,29449.81
001Vp00000DIuPXIA1,tower-peak.com,1725.5,16574.06,18299.56,9.4,26768.13
0016100001WnABvAAN,Barts Health NHS Trust,13578.57,4643.15,18221.71,74.5,81778.41
001Vp00000VXUwmIAH,adura.com,17746.15,304.48,18050.63,98.3,35736.45
0014N00001g8igcQAA,AxiCorp Financial Services Pty Ltd,12106.29,5826.2,17932.49,67.5,32491.86
0018Y000036fEZnQAM,British Heart Foundation,10333.49,7569.26,17902.75,57.7,40608.29
0013f0000043L1CAAU,DrDoctor,13443.53,4315.2,17758.73,75.7,57009.68
0016100001H5p8SAAR,Hometrack Data Systems,4119.22,13552.24,17671.46,23.3,33445.27
0018Y000031DaqJQAS,Brompton Bicycle,12629.62,5014.87,17644.49,71.6,63084.38
0018Y00002qRbmoQAC,Setfords,13381.49,4241.96,17623.45,75.9,55444.61
0014N000027QfUFQA0,Just Group plc,14186.72,3322.88,17509.6,81.0,74825.93
0014N00001nfDuAQAU,Spirax Group,10988.03,6483.21,17471.24,62.9,37433.32
