salesforce_account_id,account_name,active_workspace_count,q4_2025_dbus,q4_2025_dollars
001Vp000005WDlkIAG,APTITUDE SOFTWARE GROUP PLC,4,83904.0,0.0
0018Y000034808FQAQ,Hamilton Insurance Group,6,83680.84,4396.66
0013f000004TJ0hAAG,Algebris Investments (Asia) Pte. Ltd.,13,83613.71,4507.99
0016100001IwC83AAF,Care Quality Commission,16,81857.78,32692.63
0016100001WnABvAAN,Barts Health NHS Trust,2,81778.41,18221.71
0018Y00002kxAePQAU,Maritime and Coastguard Agency,9,81644.83,19649.18
001Vp000003Om0NIAS,OneOcean,2,81202.35,20751.41
001Vp000000hY9wIAE,Oxford University Hospitals NHS Foundation Trust,8,80332.67,26019.42
0013f0000064c1UAAQ,Fable Data,6,79777.95,19802.68
0013f0000063PV8AAM,Homes England,6,77164.55,20468.48
0013f000005Rz2kAAC,Office for Students (OfS),17,75841.96,19273.63
0016100001WmEDEAA3,Bauer Media Outdoor,8,75608.48,35439.17
0016100001UfVuQAAV,Ecobank,10,75169.46,42729.01
00161000005eOjHAAU,E&Y (HQ),89,74829.88,16596.49
0016100001QciS7AAJ,Conseillers en Gestion et Informatique CGI Inc. (HQ),50,74314.71,8966.2
0014N000027QfUFQA0,Just Group plc,21,74195.58,17470.62
0018Y00002pLtVrQAK,Perch Group,4,73977.07,24945.34
001Vp00000391heIAA,Lloyds Clinical,9,73839.84,14110.33
0013f0000065N99AAE,Pinewood Technologies PLC,6,72702.36,22531.92
0016100001QbxAzAAJ,Laing O'Rourke,23,70987.35,24865.85
0014N00001iGp87QAC,Egress Software Technologies,10,70401.69,16909.68
0018Y00002o0SSZQA2,Reassured,3,68950.18,23389.5
0016100001G26J2AAJ,Valuation Office Agency,4,68444.98,26539.87
0016100001G1KDkAAN,DESNZ - Department for Energy Security and Net Zero,32,68084.16,26474.81
0014N00001nfDbIQAU,Foster & Partners,14,67999.17,3232.7
0018Y000036eAw9QAE,Lane Clark & Peacock,16,66436.56,29479.5
0016100001XnalDAAR,Ramsay Health Care - HQ,6,66153.52,24787.06
001Vp000008Gtf4IAC,Thomas Miller,4,65331.02,23198.73
0014N00001nfDdxQAE,Landsec,29,65322.65,23605.49
0014N00001iH75vQAC,OFCOM UK,48,65099.12,25324.6
0016100001QdGUmAAN,Serco,19,64311.61,1537.24
0013f0000063dy9AAA,Sunbelt Rentals (Ashtead Group),5,64091.6,29965.53
0018Y000031DaqJQAS,Brompton Bicycle,4,63084.38,17644.49
001Vp00000END34IAH,Mitsui Bussan Commodities Limited,13,62677.46,21634.58
0016100001TPKZBAA5,Imperial College London,42,62212.55,21444.83
0018Y0000348g7jQAA,Cult Wines,2,61049.14,11008.88
0014N000027QlkyQAC,Department for Science  Innovation & Technology (DSIT),4,60621.12,6395.97
0018Y00002kwruVQAQ,Visit Britain,5,60553.79,17356.01
0013f000004TKqnAAG,sales-i,4,58704.15,27540.38
0018Y00002fpp0aQAA,Notting Hill Genesis,16,58433.9,16057.63
0013f0000043L1CAAU,DrDoctor,5,57009.68,17758.73
001Vp00000WSGp1IAH,Hays Travel,3,56845.32,23714.29
0018Y00002zJ1FqQAK,Low Carbon Contracts Company,6,56079.83,16544.38
0014N00001nfk88QAA,Helios Towers,1,55437.46,28254.35
0018Y00002qRbmoQAC,Setfords,4,55419.31,17612.45
0013f00000AiIO4AAN,Apollo Underwriting,3,54742.95,19901.69
0016100001E0872AAB,TalkTalk,8,54574.42,14198.89
0018Y00002sc9PJQAY,GTR (Govia Thameslink Railway),2,53205.28,25386.66
0014N00001neshGQAQ,Footasylum,4,52846.81,19369.75
0013f000005Qa0hAAC,Eversheds Sutherland LLP,6,52251.81,22971.89
0018Y00002mzNWYQA2,Onyx Capital Group,17,52136.79,23829.74
